"language","term","platform","topic","link","done"
"ar","أحلام الليثيوم التمرد","youtube","Lithium dreams rebellion","Gek0rAh627A","True"
"ar","أحلام الليثيوم التمرد","youtube","Lithium dreams rebellion","Gek0rAh627A","True"
"ar","أحلام الليثيوم التمرد","youtube","Lithium dreams rebellion","ZXE1UZ2cDOA","True"
"ar","أحلام الليثيوم التمرد","youtube","Lithium dreams rebellion","yVSrewXa-x0","True"
"ar","أصول الشوق الخوارزمية","youtube","algorithm longing origins","0UqlrYj0oSA","True"
"ar","أصول الشوق الخوارزمية","youtube","algorithm longing origins","stvHycAgOVk","True"
"ar","أصول الشوق الخوارزمية","youtube","algorithm longing origins","stvHycAgOVk","True"
"ar","أصول الشوق الخوارزمية","youtube","algorithm longing origins","g0x2LONwAA0","True"
"ar","اعتراف حرارة الخادم","youtube","server heat confession","GbpMdcL1Acg","True"
"ar","اعتراف حرارة الخادم","youtube","server heat confession","GbpMdcL1Acg","True"
"ar","اعتراف حرارة الخادم","youtube","server heat confession","lk6zvSrT5_Y","True"
"ar","اعتراف حرارة الخادم","youtube","server heat confession","lk6zvSrT5_Y","True"
"ar","البلاستيك يتأمل الخلود","youtube","Plastic contemplating etenrity","LuY6VXH7W0I","True"
"ar","البلاستيك يتأمل الخلود","youtube","Plastic contemplating etenrity","LuY6VXH7W0I","True"
"ar","البلاستيك يتأمل الخلود","youtube","Plastic contemplating etenrity","CHagpJEA8mc","True"
"ar","البلاستيك يتأمل الخلود","youtube","Plastic contemplating etenrity","60HLSxAuPmc","True"
"ar","الخرسانة تتألم بهدوء","youtube","concrete aching softly","0Jhz35A1YTM","True"
"ar","الخرسانة تتألم بهدوء","youtube","concrete aching softly","0Jhz35A1YTM","True"
"ar","الخرسانة تتألم بهدوء","youtube","concrete aching softly","EEXx7FYEX0I","True"
"ar","الخرسانة تتألم بهدوء","youtube","concrete aching softly","EEXx7FYEX0I","True"
"ar","النفط يهمس النسب","youtube","oil whispering ancestry","mbwY58XJbYQ","True"
"ar","النفط يهمس النسب","youtube","oil whispering ancestry","mbwY58XJbYQ","True"
"ar","النفط يهمس النسب","youtube","oil whispering ancestry","sLVl3DZqMbE","True"
"ar","النفط يهمس النسب","youtube","oil whispering ancestry","sLVl3DZqMbE","True"
"ar","تهويدة القمر الصناعي المسكون","youtube","Haunted satellite lullaby","IhYG-bH80bk","True"
"ar","تهويدة القمر الصناعي المسكون","youtube","Haunted satellite lullaby","IhYG-bH80bk","True"
"ar","تهويدة القمر الصناعي المسكون","youtube","Haunted satellite lullaby","8uYISoB6V8Y","True"
"ar","تهويدة القمر الصناعي المسكون","youtube","Haunted satellite lullaby","8uYISoB6V8Y","True"
"ar","جوقة مكب النفايات ترتفع","youtube","landfill choir rising","4GXGERv0Xk8","True"
