link,language,term,platform,channel,title,description,date,views,duration,tags,categories,age_limit,like_count,text,pretty_text,recency
0UqlrYj0oSA,ar,أصول الشوق الخوارزمية,youtube,Montajab,تعرف على اصل كلمة خوارزميات 🧠⚙️. #short #shorts,,2023-06-02 00:00:00,7025,26,(),People & Blogs,0,142.0,تعرف على اصل كلمة خوارزميات 🧠⚙️. #short #shortsMontajab,"Title: تعرف على اصل كلمة خوارزميات 🧠⚙️. #short #shorts

Channel: Montajab

Description: 

",868
stvHycAgOVk,ar,أصول الشوق الخوارزمية,youtube,Al Sharq Youth,كتاب مهم يتتبع نشوء فكرة الخوارزمية #بودكاست #الشرق,"في هذه الحلقة من بودكاست الشرق يتحدث المفكر الفلسطيني خالد عودة الله عن كتاب يصفه بالمهم يحمل اسم ""الحداثة الخوارزمية"" لفيلسوف طلياني والذي يتتبع نشوء فكرة الخوارزمية التي تعد أساس الذكاء الاصطناعي. 
كتاب مهم يتتبع نشوء فكرة الخوارزمية #بودكاست #الشرق 

إسرائيل والذكاء الاصطناعي: التكنولوجيا مصنع إبادة في غزة | بودكاست الشرق مع خالد عودة 
في هذه الحلقة من بودكاست الشرق، نستضيف المفكر الفلسطيني خالد عودة الله لمناقشة الحرب الإسرائيلية على غزة في ظل التحولات التكنولوجية. واستخدام الذكاء الاصطناعي في الحرب على غزة، ليس فقط كسلاح عسكري تقليدي، بل كأداة في الإبادة الجماعية، وما يحمله ذلك من أبعاد أخلاقية وسياسية خطيرة.
يسلط المفكر الفلسطيني خالد عودة الله الضوء على توظيف النازية للتكنولوجيا للقتل في الماضي، و والنموذج الإسرائيلي الحالي في أتمتة القتل، مع مناقشة نقد الموجه للذكاء الاصطناعي. كما يناقش الضيف الارتباط بين المشروع الصهيوني والخرافة الدينية والتفوق التكنولوجي، وكيف ساهم ذلك في تكريس صورة إسرائيل كقوة حديثة في مواجهة محيطها العربي.
كما نناقش الأبعاد الفلسفية والسياسية لأثر التكنولوجيا الرقمية على تعريف الإنسان والوعي الجماعي، إلى العلاقة بين الخوارزميات والهيمنة الرأسمالية، ودور فلسطين كمقاومة في مواجهة ""الفاشية الخوارزمية"".
يقدم البودكاست الصحفي والباحث عبد الرحمن ناصر",2025-10-09 00:00:00,6652,86,"('إسرائيل', 'إسرائيل والذكاء الاصطناعي', 'اسرائيل', 'اسرائيل من الداخل', 'الاستعمار', 'الجيش الإسرائيلي', 'الجيش الاسرائيلي', 'الذكاء الاصطناعي', 'الشرق بودكاست', 'القدس', 'المجتمع الاسرائيلي', 'انهيار اسرائيل من الداخل', 'بودكاست الشرق', 'بودكاست عن إسرائيل', 'بودكاست عن غزة', 'بودكاست غزة', 'بودكاست منتدى الشرق', 'تاريخ إسرائيل', 'تاسيس إسرائيل', 'تفكك اسرائيل من الداخل', 'خالد عودة', 'خالد عودة الله', 'خان يونس', 'دولة اسرائيل من الداخل', 'شكل اسرائيل من الداخل', 'غزة', 'فلسطين', 'مخاطر الذكاء الاصطناعي', 'وثائقي اسرائيل من الداخل')",Nonprofits & Activism,0,210.0,"كتاب مهم يتتبع نشوء فكرة الخوارزمية #بودكاست #الشرقفي هذه الحلقة من بودكاست الشرق يتحدث المفكر الفلسطيني خالد عودة الله عن كتاب يصفه بالمهم يحمل اسم ""الحداثة الخوارزمية"" لفيلسوف طلياني والذي يتتبع نشوء فكرة الخوارزمية التي تعد أساس الذكاء الاصطناعي. 
كتاب مهم يتتبع نشوء فكرة الخوارزمية #بودكاست #الشرق 

إسرائيل والذكاء الاصطناعي: التكنولوجيا مصنع إبادة في غزة | بودكاست الشرق مع خالد عودة 
في هذه الحلقة من بودكاست الشرق، نستضيف المفكر الفلسطيني خالد عودة الله لمناقشة الحرب الإسرائيلية على غزة في ظل التحولات التكنولوجية. واستخدام الذكاء الاصطناعي في الحرب على غزة، ليس فقط كسلاح عسكري تقليدي، بل كأداة في الإبادة الجماعية، وما يحمله ذلك من أبعاد أخلاقية وسياسية خطيرة.
يسلط المفكر الفلسطيني خالد عودة الله الضوء على توظيف النازية للتكنولوجيا للقتل في الماضي، و والنموذج الإسرائيلي الحالي في أتمتة القتل، مع مناقشة نقد الموجه للذكاء الاصطناعي. كما يناقش الضيف الارتباط بين المشروع الصهيوني والخرافة الدينية والتفوق التكنولوجي، وكيف ساهم ذلك في تكريس صورة إسرائيل كقوة حديثة في مواجهة محيطها العربي.
كما نناقش الأبعاد الفلسفية والسياسية لأثر التكنولوجيا الرقمية على تعريف الإنسان والوعي الجماعي، إلى العلاقة بين الخوارزميات والهيمنة الرأسمالية، ودور فلسطين كمقاومة في مواجهة ""الفاشية الخوارزمية"".
يقدم البودكاست الصحفي والباحث عبد الرحمن ناصرAl Sharq Youth","Title: كتاب مهم يتتبع نشوء فكرة الخوارزمية #بودكاست #الشرق

Channel: Al Sharq Youth

Description: في هذه الحلقة من بودكاست الشرق يتحدث المفكر الفلسطيني خالد عودة الله عن كتاب يصفه بالمهم يحمل اسم ""الحداثة الخوارزمية"" لفيلسوف طلياني والذي يتتبع نشوء فكرة الخوارزمية التي تعد أساس الذكاء الاصطناعي. 
كتاب مهم يتتبع نشوء فكرة الخوارزمية #بودكاست #الشرق 

إسرائيل والذكاء الاصطناعي: التكنولوجيا مصنع إبادة في غزة | بودكاست الشرق مع خالد عودة 
في هذه الحلقة من بودكاست الشرق، نستضيف المفكر الفلسطيني خالد عودة الله لمناقشة الحرب الإسرائيلية على غزة في ظل التحولات التكنولوجية. واستخدام الذكاء الاصطناعي في الحرب على غزة، ليس فقط كسلاح عسكري تقليدي، بل كأداة في الإبادة الجماعية، وما يحمله ذلك من أبعاد أخلاقية وسياسية خطيرة.
يسلط المفكر الفلسطيني خالد عودة الله الضوء على توظيف النازية للتكنولوجيا للقتل في الماضي، و والنموذج الإسرائيلي الحالي في أتمتة القتل، مع مناقشة نقد الموجه للذكاء الاصطناعي. كما يناقش الضيف الارتباط بين المشروع الصهيوني والخرافة الدينية والتفوق التكنولوجي، وكيف ساهم ذلك في تكريس صورة إسرائيل كقوة حديثة في مواجهة محيطها العربي.
كما نناقش الأبعاد الفلسفية والسياسية لأثر التكنولوجيا الرقمية على تعريف الإنسان والوعي الجماعي، إلى العلاقة بين الخوارزميات والهيمنة الرأسمالية، ودور فلسطين كمقاومة في مواجهة ""الفاشية الخوارزمية"".
يقدم البودكاست الصحفي والباحث عبد الرحمن ناصر

",8
g0x2LONwAA0,ar,أصول الشوق الخوارزمية,youtube,AH Academy,يعني ايه خوارزميات ؟ 🤖 #shorts,"في هذا الفيديو، نستعرض مفهوم الخوارزميات وأهميتها في عالم البرمجة وعلوم الحاسوب.
#البشمهندس",2024-11-16 00:00:00,43044,49,"('الخورزميات', 'البرمجة', 'shorts', 'shortvideo', 'explore', 'facebook', 'youtube', 'instgram', 'رياضيات', 'فيزياء', 'math', 'الرياضيات', 'التفاضل', 'التكامل', 'programming', 'الاحتمالات', 'احتمالات', 'الحاسوب', 'computer', 'computer science', 'algorithm')",Entertainment,0,2388.0,"يعني ايه خوارزميات ؟ 🤖 #shortsفي هذا الفيديو، نستعرض مفهوم الخوارزميات وأهميتها في عالم البرمجة وعلوم الحاسوب.
#البشمهندسAH Academy","Title: يعني ايه خوارزميات ؟ 🤖 #shorts

Channel: AH Academy

Description: في هذا الفيديو، نستعرض مفهوم الخوارزميات وأهميتها في عالم البرمجة وعلوم الحاسوب.
#البشمهندس

",335
lk6zvSrT5_Y,ar,اعتراف حرارة الخادم,youtube,الراقي أحمد السوسي meftahachifaa,علامات تدل أن فيك عاشقة منذ الصغر,,2023-04-12 00:00:00,295565,40,(),People & Blogs,0,9336.0,علامات تدل أن فيك عاشقة منذ الصغرالراقي أحمد السوسي meftahachifaa,"Title: علامات تدل أن فيك عاشقة منذ الصغر

Channel: الراقي أحمد السوسي meftahachifaa

Description: 

",919
LuY6VXH7W0I,ar,البلاستيك يتأمل الخلود,youtube,Mzoon Mazoo,طريقه فك بلاستيك الختان لدى الاطفال,,2021-06-04 00:00:00,117047,14,(),People & Blogs,0,423.0,طريقه فك بلاستيك الختان لدى الاطفالMzoon Mazoo,"Title: طريقه فك بلاستيك الختان لدى الاطفال

Channel: Mzoon Mazoo

Description: 

",1596
CHagpJEA8mc,ar,البلاستيك يتأمل الخلود,youtube,CNN-News18,Plastic Found in Human Brain? Neuroscientist Explains How It Got There | Kumaar Bagrodia | N18S,"Yes, scientists have found plastic particles in the human brain — but what does that actually mean?

 Behavioural health researcher and neuroscientist Kumaar Bagrodia breaks down the real impact of microplastics on your mental and physical health. From water bottles to daily food — here’s how what you drink might be changing your brain forever.


#Microplastics #BrainHealth #KumaarBagrodia #ScienceExplained #PlasticPollution #HealthAwarenessNews18  Mobile App - https://onelink.to/desc-youtube",2025-10-14 00:00:00,961,136,"('news18', 'cnn news18', 'latest news', 'microplastics in human brain', 'kumaar bagrodia interview', 'plastic in brain explained', 'neuroscience and environment', 'how plastic enters brain', 'plastic pollution health effects', 'brain and behaviour', 'water bottle microplastics', 'mental health and environment', 'sustainable living tips', 'human brain research 2025', 'CNN News18 environment special', 'plastic in food and water', 'awareness before anxiety', 'behavioural neuroscience')",News & Politics,0,1.0,"Plastic Found in Human Brain? Neuroscientist Explains How It Got There | Kumaar Bagrodia | N18SYes, scientists have found plastic particles in the human brain — but what does that actually mean?

 Behavioural health researcher and neuroscientist Kumaar Bagrodia breaks down the real impact of microplastics on your mental and physical health. From water bottles to daily food — here’s how what you drink might be changing your brain forever.


#Microplastics #BrainHealth #KumaarBagrodia #ScienceExplained #PlasticPollution #HealthAwarenessNews18  Mobile App - https://onelink.to/desc-youtubeCNN-News18","Title: Plastic Found in Human Brain? Neuroscientist Explains How It Got There | Kumaar Bagrodia | N18S

Channel: CNN-News18

Description: Yes, scientists have found plastic particles in the human brain — but what does that actually mean?

 Behavioural health researcher and neuroscientist Kumaar Bagrodia breaks down the real impact of microplastics on your mental and physical health. From water bottles to daily food — here’s how what you drink might be changing your brain forever.


#Microplastics #BrainHealth #KumaarBagrodia #ScienceExplained #PlasticPollution #HealthAwarenessNews18  Mobile App - https://onelink.to/desc-youtube

",3
0Jhz35A1YTM,ar,الخرسانة تتألم بهدوء,youtube,كود المهندس 🚨,قياس عمق الخرسانة⁉️#construction #بناء #home #مرفوضة #concrete #خرسانة,,2025-10-17 00:00:00,605,18,(),People & Blogs,0,7.0,قياس عمق الخرسانة⁉️#construction #بناء #home #مرفوضة #concrete #خرسانةكود المهندس 🚨,"Title: قياس عمق الخرسانة⁉️#construction #بناء #home #مرفوضة #concrete #خرسانة

Channel: كود المهندس 🚨

Description: 

",0
EEXx7FYEX0I,ar,الخرسانة تتألم بهدوء,youtube,فيديو ترند,ضخ الخرسانة وحل مشاكل الانسداد,,2025-03-17 00:00:00,282033,25,(),Film & Animation,0,741.0,ضخ الخرسانة وحل مشاكل الانسدادفيديو ترند,"Title: ضخ الخرسانة وحل مشاكل الانسداد

Channel: فيديو ترند

Description: 

",214
mbwY58XJbYQ,ar,النفط يهمس النسب,youtube,العربية Business,"عادل الجبير عن ""النفاق"" في معاداة النفط: ""يغضبون عندما ينخفض الإنتاج""","#عادل_الجبير عن ""النفاق"" في معاداة #النفط: ""يغصبون عندما ينخفض الإنتاج""

المقطع الكامل:
https://youtu.be/ACifFkkpE3c

#العربية_Business",2024-01-23 00:00:00,33650,14,(),News & Politics,0,449.0,"عادل الجبير عن ""النفاق"" في معاداة النفط: ""يغضبون عندما ينخفض الإنتاج""#عادل_الجبير عن ""النفاق"" في معاداة #النفط: ""يغصبون عندما ينخفض الإنتاج""

المقطع الكامل:
https://youtu.be/ACifFkkpE3c

#العربية_Businessالعربية Business","Title: عادل الجبير عن ""النفاق"" في معاداة النفط: ""يغضبون عندما ينخفض الإنتاج""

Channel: العربية Business

Description: #عادل_الجبير عن ""النفاق"" في معاداة #النفط: ""يغصبون عندما ينخفض الإنتاج""

المقطع الكامل:
https://youtu.be/ACifFkkpE3c

#العربية_Business

",633
sLVl3DZqMbE,ar,النفط يهمس النسب,youtube,Asharq Documentary الشرق الوثائقية,كيف يحول النفط إلى بلاستيك؟ #وثائقيات #shorts,"هل كنت تدرك أن هذه المنتجات يتم تصنيعها من #النفط؟ شاهد التفاصيل في وثائقي ""نفاذ المخزون"" اليوم الساعة 6 مساءً بتوقيت #السعودية على #الشرق_الوثائقية عبر مختلف المنصات.

#الشرق_الوثائقية #وثائقيات 

إذا فاتك أحد برامجنا فيمكنك متابعته في أي وقت عبر منصة الفيديوهات تحت الطلب:
https://now.asharq.com/doc

تابعونا أيضا على مواقع التواصل الاجتماعي المختلفة
https://www.facebook.com/asharqdoc
https://www.twitter.com/asharqdoc
https://www.instagram.com/asharqdoc
https://www.tiktok.com/@asharqdoc",2023-09-29 00:00:00,21195,32,(),Education,0,385.0,"كيف يحول النفط إلى بلاستيك؟ #وثائقيات #shortsهل كنت تدرك أن هذه المنتجات يتم تصنيعها من #النفط؟ شاهد التفاصيل في وثائقي ""نفاذ المخزون"" اليوم الساعة 6 مساءً بتوقيت #السعودية على #الشرق_الوثائقية عبر مختلف المنصات.

#الشرق_الوثائقية #وثائقيات 

إذا فاتك أحد برامجنا فيمكنك متابعته في أي وقت عبر منصة الفيديوهات تحت الطلب:
https://now.asharq.com/doc

تابعونا أيضا على مواقع التواصل الاجتماعي المختلفة
https://www.facebook.com/asharqdoc
https://www.twitter.com/asharqdoc
https://www.instagram.com/asharqdoc
https://www.tiktok.com/@asharqdocAsharq Documentary الشرق الوثائقية","Title: كيف يحول النفط إلى بلاستيك؟ #وثائقيات #shorts

Channel: Asharq Documentary الشرق الوثائقية

Description: هل كنت تدرك أن هذه المنتجات يتم تصنيعها من #النفط؟ شاهد التفاصيل في وثائقي ""نفاذ المخزون"" اليوم الساعة 6 مساءً بتوقيت #السعودية على #الشرق_الوثائقية عبر مختلف المنصات.

#الشرق_الوثائقية #وثائقيات 

إذا فاتك أحد برامجنا فيمكنك متابعته في أي وقت عبر منصة الفيديوهات تحت الطلب:
https://now.asharq.com/doc

تابعونا أيضا على مواقع التواصل الاجتماعي المختلفة
https://www.facebook.com/asharqdoc
https://www.twitter.com/asharqdoc
https://www.instagram.com/asharqdoc
https://www.tiktok.com/@asharqdoc

",749
