"topic","language","term","platform","link"
"Cobalt remembers touch","ar","يتذكر الكوبالت اللمس","youtube","_"
"Cobalt remembers touch","ar","يتذكر الكوبالت اللمس","youtube","_"
"Cobalt remembers touch","ar","يتذكر الكوبالت اللمس","youtube","_"
"Cobalt remembers touch","ar","يتذكر الكوبالت اللمس","youtube","_"
"Cobalt remembers touch","es","Cobalto recuerda el tacto","youtube","_"
"Cobalt remembers touch","es","Cobalto recuerda el tacto","youtube","_"
"Cobalt remembers touch","es","Cobalto recuerda el tacto","youtube","_"
"Cobalt remembers touch","es","Cobalto recuerda el tacto","youtube","_"
"Cobalt remembers touch","fr","Cobalt se souvient du toucher","youtube","_"
"Cobalt remembers touch","fr","Cobalt se souvient du toucher","youtube","_"
"Cobalt remembers touch","fr","Cobalt se souvient du toucher","youtube","_"
"Cobalt remembers touch","fr","Cobalt se souvient du toucher","youtube","_"
"Cobalt remembers touch","hi","कोबाल्ट स्पर्श को याद रखता है","youtube","_"
"Cobalt remembers touch","hi","कोबाल्ट स्पर्श को याद रखता है","youtube","_"
"Cobalt remembers touch","hi","कोबाल्ट स्पर्श को याद रखता है","youtube","_"
"Cobalt remembers touch","hi","कोबाल्ट स्पर्श को याद रखता है","youtube","_"
"Cobalt remembers touch","ja","コバルトは触れたことを覚えている","youtube","_"
"Cobalt remembers touch","ja","コバルトは触れたことを覚えている","youtube","_"
"Cobalt remembers touch","ja","コバルトは触れたことを覚えている","youtube","_"
"Cobalt remembers touch","ja","コバルトは触れたことを覚えている","youtube","_"
"Cobalt remembers touch","pt","Cobalto lembra o toque","youtube","_"
"Cobalt remembers touch","pt","Cobalto lembra o toque","youtube","_"
"Cobalt remembers touch","pt","Cobalto lembra o toque","youtube","_"
"Cobalt remembers touch","pt","Cobalto lembra o toque","youtube","_"
"Cobalt remembers touch","zh-CN","钴会记住触摸","youtube","_"
"Cobalt remembers touch","zh-CN","钴会记住触摸","youtube","_"
"Cobalt remembers touch","zh-CN","钴会记住触摸","youtube","_"
"Cobalt remembers touch","zh-CN","钴会记住触摸","youtube","_"
"Lithium dreams rebellion","ar","أحلام الليثيوم التمرد","youtube","_"
"Lithium dreams rebellion","ar","أحلام الليثيوم التمرد","youtube","_"
"Lithium dreams rebellion","ar","أحلام الليثيوم التمرد","youtube","_"
"Lithium dreams rebellion","ar","أحلام الليثيوم التمرد","youtube","_"
"Lithium dreams rebellion","es","Rebelión de los sueños de litio","youtube","_"
"Lithium dreams rebellion","es","Rebelión de los sueños de litio","youtube","_"
"Lithium dreams rebellion","es","Rebelión de los sueños de litio","youtube","_"
"Lithium dreams rebellion","es","Rebelión de los sueños de litio","youtube","_"
"Lithium dreams rebellion","fr","La rébellion des rêves de lithium","youtube","_"
"Lithium dreams rebellion","fr","La rébellion des rêves de lithium","youtube","_"
"Lithium dreams rebellion","fr","La rébellion des rêves de lithium","youtube","_"
"Lithium dreams rebellion","fr","La rébellion des rêves de lithium","youtube","_"
"Lithium dreams rebellion","hi","लिथियम विद्रोह का सपना देखता है","youtube","_"
"Lithium dreams rebellion","hi","लिथियम विद्रोह का सपना देखता है","youtube","_"
"Lithium dreams rebellion","hi","लिथियम विद्रोह का सपना देखता है","youtube","_"
"Lithium dreams rebellion","hi","लिथियम विद्रोह का सपना देखता है","youtube","_"
"Lithium dreams rebellion","ja","リチウムは反乱を夢見る","youtube","_"
"Lithium dreams rebellion","ja","リチウムは反乱を夢見る","youtube","_"
"Lithium dreams rebellion","ja","リチウムは反乱を夢見る","youtube","_"
"Lithium dreams rebellion","ja","リチウムは反乱を夢見る","youtube","_"
"Lithium dreams rebellion","pt","Rebelião dos sonhos de lítio","youtube","_"
"Lithium dreams rebellion","pt","Rebelião dos sonhos de lítio","youtube","_"
"Lithium dreams rebellion","pt","Rebelião dos sonhos de lítio","youtube","_"
"Lithium dreams rebellion","pt","Rebelião dos sonhos de lítio","youtube","_"
"Lithium dreams rebellion","zh-CN","锂梦的叛逆","youtube","_"
"Lithium dreams rebellion","zh-CN","锂梦的叛逆","youtube","_"
"Lithium dreams rebellion","zh-CN","锂梦的叛逆","youtube","_"
"Lithium dreams rebellion","zh-CN","锂梦的叛逆","youtube","_"
"Haunted satellite lullaby","ar","تهويدة القمر الصناعي المسكون","youtube","_"
"Haunted satellite lullaby","ar","تهويدة القمر الصناعي المسكون","youtube","_"
"Haunted satellite lullaby","ar","تهويدة القمر الصناعي المسكون","youtube","_"
"Haunted satellite lullaby","ar","تهويدة القمر الصناعي المسكون","youtube","_"
"Haunted satellite lullaby","es","Canción de cuna satelital embrujada","youtube","_"
"Haunted satellite lullaby","es","Canción de cuna satelital embrujada","youtube","_"
"Haunted satellite lullaby","es","Canción de cuna satelital embrujada","youtube","_"
"Haunted satellite lullaby","es","Canción de cuna satelital embrujada","youtube","_"
"Haunted satellite lullaby","fr","Berceuse satellite hantée","youtube","_"
"Haunted satellite lullaby","fr","Berceuse satellite hantée","youtube","_"
"Haunted satellite lullaby","fr","Berceuse satellite hantée","youtube","_"
"Haunted satellite lullaby","fr","Berceuse satellite hantée","youtube","_"
"Haunted satellite lullaby","hi","प्रेतवाधित उपग्रह लोरी","youtube","_"
"Haunted satellite lullaby","hi","प्रेतवाधित उपग्रह लोरी","youtube","_"
"Haunted satellite lullaby","hi","प्रेतवाधित उपग्रह लोरी","youtube","_"
"Haunted satellite lullaby","hi","प्रेतवाधित उपग्रह लोरी","youtube","_"
"Haunted satellite lullaby","ja","幽霊の衛星子守唄","youtube","_"
"Haunted satellite lullaby","ja","幽霊の衛星子守唄","youtube","_"
"Haunted satellite lullaby","ja","幽霊の衛星子守唄","youtube","_"
"Haunted satellite lullaby","ja","幽霊の衛星子守唄","youtube","_"
"Haunted satellite lullaby","pt","Canção de ninar do satélite assombrado","youtube","_"
"Haunted satellite lullaby","pt","Canção de ninar do satélite assombrado","youtube","_"
"Haunted satellite lullaby","pt","Canção de ninar do satélite assombrado","youtube","_"
"Haunted satellite lullaby","pt","Canção de ninar do satélite assombrado","youtube","_"
"Haunted satellite lullaby","zh-CN","闹鬼的卫星摇篮曲","youtube","_"
"Haunted satellite lullaby","zh-CN","闹鬼的卫星摇篮曲","youtube","_"
"Haunted satellite lullaby","zh-CN","闹鬼的卫星摇篮曲","youtube","_"
"Haunted satellite lullaby","zh-CN","闹鬼的卫星摇篮曲","youtube","_"
"Plastic contemplating etenrity","ar","البلاستيك يتأمل الخلود","youtube","_"
"Plastic contemplating etenrity","ar","البلاستيك يتأمل الخلود","youtube","_"
"Plastic contemplating etenrity","ar","البلاستيك يتأمل الخلود","youtube","_"
"Plastic contemplating etenrity","ar","البلاستيك يتأمل الخلود","youtube","_"
"Plastic contemplating etenrity","es","Plástico contemplando la eternidad","youtube","_"
"Plastic contemplating etenrity","es","Plástico contemplando la eternidad","youtube","_"
"Plastic contemplating etenrity","es","Plástico contemplando la eternidad","youtube","_"
"Plastic contemplating etenrity","es","Plástico contemplando la eternidad","youtube","_"
"Plastic contemplating etenrity","fr","Plastique contemplant l'éternité","youtube","_"
"Plastic contemplating etenrity","fr","Plastique contemplant l'éternité","youtube","_"
"Plastic contemplating etenrity","fr","Plastique contemplant l'éternité","youtube","_"
"Plastic contemplating etenrity","fr","Plastique contemplant l'éternité","youtube","_"
"Plastic contemplating etenrity","hi","प्लास्टिक अनंत काल पर विचार कर रहा है","youtube","_"
"Plastic contemplating etenrity","hi","प्लास्टिक अनंत काल पर विचार कर रहा है","youtube","_"
"Plastic contemplating etenrity","hi","प्लास्टिक अनंत काल पर विचार कर रहा है","youtube","_"
"Plastic contemplating etenrity","hi","प्लास्टिक अनंत काल पर विचार कर रहा है","youtube","_"
"Plastic contemplating etenrity","ja","永遠を見つめるプラスチック","youtube","_"
"Plastic contemplating etenrity","ja","永遠を見つめるプラスチック","youtube","_"
"Plastic contemplating etenrity","ja","永遠を見つめるプラスチック","youtube","_"
"Plastic contemplating etenrity","ja","永遠を見つめるプラスチック","youtube","_"
"Plastic contemplating etenrity","pt","Plástico contemplando a eternidade","youtube","_"
"Plastic contemplating etenrity","pt","Plástico contemplando a eternidade","youtube","_"
"Plastic contemplating etenrity","pt","Plástico contemplando a eternidade","youtube","_"
"Plastic contemplating etenrity","pt","Plástico contemplando a eternidade","youtube","_"
"Plastic contemplating etenrity","zh-CN","塑料思考永恒","youtube","_"
"Plastic contemplating etenrity","zh-CN","塑料思考永恒","youtube","_"
"Plastic contemplating etenrity","zh-CN","塑料思考永恒","youtube","_"
"Plastic contemplating etenrity","zh-CN","塑料思考永恒","youtube","_"
"algorithm longing origins","ar","أصول الشوق الخوارزمية","youtube","_"
"algorithm longing origins","ar","أصول الشوق الخوارزمية","youtube","_"
"algorithm longing origins","ar","أصول الشوق الخوارزمية","youtube","_"
"algorithm longing origins","ar","أصول الشوق الخوارزمية","youtube","_"
"algorithm longing origins","es","orígenes del anhelo del algoritmo","youtube","_"
"algorithm longing origins","es","orígenes del anhelo del algoritmo","youtube","_"
"algorithm longing origins","es","orígenes del anhelo del algoritmo","youtube","_"
"algorithm longing origins","es","orígenes del anhelo del algoritmo","youtube","_"
"algorithm longing origins","fr","algorithme désirant les origines","youtube","_"
"algorithm longing origins","fr","algorithme désirant les origines","youtube","_"
"algorithm longing origins","fr","algorithme désirant les origines","youtube","_"
"algorithm longing origins","fr","algorithme désirant les origines","youtube","_"
"algorithm longing origins","hi","एल्गोरिथ्म लालसा उत्पत्ति","youtube","_"
"algorithm longing origins","hi","एल्गोरिथ्म लालसा उत्पत्ति","youtube","_"
"algorithm longing origins","hi","एल्गोरिथ्म लालसा उत्पत्ति","youtube","_"
"algorithm longing origins","hi","एल्गोरिथ्म लालसा उत्पत्ति","youtube","_"
"algorithm longing origins","ja","アルゴリズム憧れの原点","youtube","_"
"algorithm longing origins","ja","アルゴリズム憧れの原点","youtube","_"
"algorithm longing origins","ja","アルゴリズム憧れの原点","youtube","_"
"algorithm longing origins","ja","アルゴリズム憧れの原点","youtube","_"
"algorithm longing origins","pt","origens de saudade do algoritmo","youtube","_"
"algorithm longing origins","pt","origens de saudade do algoritmo","youtube","_"
"algorithm longing origins","pt","origens de saudade do algoritmo","youtube","_"
"algorithm longing origins","pt","origens de saudade do algoritmo","youtube","_"
"algorithm longing origins","zh-CN","算法渴望起源","youtube","_"
"algorithm longing origins","zh-CN","算法渴望起源","youtube","_"
"algorithm longing origins","zh-CN","算法渴望起源","youtube","_"
"algorithm longing origins","zh-CN","算法渴望起源","youtube","_"
"server heat confession","ar","اعتراف حرارة الخادم","youtube","_"
"server heat confession","ar","اعتراف حرارة الخادم","youtube","_"
"server heat confession","ar","اعتراف حرارة الخادم","youtube","_"
"server heat confession","ar","اعتراف حرارة الخادم","youtube","_"
"server heat confession","es","confesión de calor del servidor","youtube","_"
"server heat confession","es","confesión de calor del servidor","youtube","_"
"server heat confession","es","confesión de calor del servidor","youtube","_"
"server heat confession","es","confesión de calor del servidor","youtube","_"
"server heat confession","fr","confession de chaleur du serveur","youtube","_"
"server heat confession","fr","confession de chaleur du serveur","youtube","_"
"server heat confession","fr","confession de chaleur du serveur","youtube","_"
"server heat confession","fr","confession de chaleur du serveur","youtube","_"
"server heat confession","hi","सर्वर हीट कन्फ़ेशन","youtube","_"
"server heat confession","hi","सर्वर हीट कन्फ़ेशन","youtube","_"
"server heat confession","hi","सर्वर हीट कन्फ़ेशन","youtube","_"
"server heat confession","hi","सर्वर हीट कन्फ़ेशन","youtube","_"
"server heat confession","ja","サーバーの熱の告白","youtube","_"
"server heat confession","ja","サーバーの熱の告白","youtube","_"
"server heat confession","ja","サーバーの熱の告白","youtube","_"
"server heat confession","ja","サーバーの熱の告白","youtube","_"
"server heat confession","pt","confissão de calor do servidor","youtube","_"
"server heat confession","pt","confissão de calor do servidor","youtube","_"
"server heat confession","pt","confissão de calor do servidor","youtube","_"
"server heat confession","pt","confissão de calor do servidor","youtube","_"
"server heat confession","zh-CN","服务器热度自白","youtube","_"
"server heat confession","zh-CN","服务器热度自白","youtube","_"
"server heat confession","zh-CN","服务器热度自白","youtube","_"
"server heat confession","zh-CN","服务器热度自白","youtube","_"
"landfill choir rising","ar","جوقة مكب النفايات ترتفع","youtube","_"
"landfill choir rising","ar","جوقة مكب النفايات ترتفع","youtube","_"
