"language","term","platform","topic","link","done"
"ar","أكل صلاة حب استشراق","youtube","eat pray love orientalism","t8XYTSfBCXM","True"
"ar","أكل صلاة حب استشراق","youtube","eat pray love orientalism","t8XYTSfBCXM","True"
"ar","أكل صلاة حب استشراق","youtube","eat pray love orientalism","u80Cie1X5QE","True"
"ar","أكل صلاة حب استشراق","youtube","eat pray love orientalism","u80Cie1X5QE","True"
"ar","ازدواجية الحياة","youtube","disneyfication of life","ZBprgmSIReQ","True"
"ar","ازدواجية الحياة","youtube","disneyfication of life","ZBprgmSIReQ","True"
"ar","ازدواجية الحياة","youtube","disneyfication of life","DlVMzUMxCoY","True"
"ar","ازدواجية الحياة","youtube","disneyfication of life","DlVMzUMxCoY","True"
"ar","الرجل الحديدي جبل ايفرست","youtube","ironman mount everest","2SBCTcsafCE","True"
"ar","الرجل الحديدي جبل ايفرست","youtube","ironman mount everest","2SBCTcsafCE","True"
"ar","الرجل الحديدي جبل ايفرست","youtube","ironman mount everest","_eyvPZ-btG0","True"
"ar","الرجل الحديدي جبل ايفرست","youtube","ironman mount everest","_eyvPZ-btG0","True"
"ar","النباتات الاستوائية النازحة في المنزل","youtube","displaced tropical plants at home","44PkY25ZpSY","True"
"ar","النباتات الاستوائية النازحة في المنزل","youtube","displaced tropical plants at home","44PkY25ZpSY","True"
"ar","النباتات الاستوائية النازحة في المنزل","youtube","displaced tropical plants at home","U-RpdgYI6TY","True"
"ar","النباتات الاستوائية النازحة في المنزل","youtube","displaced tropical plants at home","U-RpdgYI6TY","True"
"ar","حديقة الحيوان البشرية","youtube","human zoo","fgHI6PTYlnQ","True"
"ar","حديقة الحيوان البشرية","youtube","human zoo","fgHI6PTYlnQ","True"
"ar","حديقة الحيوان البشرية","youtube","human zoo","KtGUzTr_MC4","True"
"ar","حديقة الحيوان البشرية","youtube","human zoo","KtGUzTr_MC4","True"
"ar","حساء عطلة الغطس البلاستيكي","youtube","snorkling holiday plastic soup","OQdxryipIEA","True"
"ar","حساء عطلة الغطس البلاستيكي","youtube","snorkling holiday plastic soup","OQdxryipIEA","True"
"ar","حساء عطلة الغطس البلاستيكي","youtube","snorkling holiday plastic soup","x2j_l6YqfHc","True"
"ar","حساء عطلة الغطس البلاستيكي","youtube","snorkling holiday plastic soup","x2j_l6YqfHc","True"
"ar","حفلة كوكتيل بيكيني في منطقة الحرب","youtube","bikini cocktailparty in warzone","HAsEpJ_OZPw","True"
"ar","حفلة كوكتيل بيكيني في منطقة الحرب","youtube","bikini cocktailparty in warzone","HAsEpJ_OZPw","True"
"ar","حفلة كوكتيل بيكيني في منطقة الحرب","youtube","bikini cocktailparty in warzone","RzpbB6_o_uc","True"
"ar","حفلة كوكتيل بيكيني في منطقة الحرب","youtube","bikini cocktailparty in warzone","RzpbB6_o_uc","True"
"ar","كرة الثلج الكوكايين أمستردام","youtube","cocaine snowglobe Amsterdam","4o4pRQ_QdyY","True"
"ar","كرة الثلج الكوكايين أمستردام","youtube","cocaine snowglobe Amsterdam","4o4pRQ_QdyY","True"
"ar","كرة الثلج الكوكايين أمستردام","youtube","cocaine snowglobe Amsterdam","CrdoGjvg398","True"
"ar","كرة الثلج الكوكايين أمستردام","youtube","cocaine snowglobe Amsterdam","CrdoGjvg398","True"
"ar","متجر الهدايا التذكارية الحزينة","youtube","sad souvenir shop","aihlaFgcc44","True"
"ar","متجر الهدايا التذكارية الحزينة","youtube","sad souvenir shop","aihlaFgcc44","True"
"ar","متجر الهدايا التذكارية الحزينة","youtube","sad souvenir shop","DSmsdqwzfjI","True"
"ar","متجر الهدايا التذكارية الحزينة","youtube","sad souvenir shop","DSmsdqwzfjI","True"
