"topic","language","term","platform","link"
"cocaine snowglobe Amsterdam","ar","كرة الثلج الكوكايين أمستردام","youtube","_"
"cocaine snowglobe Amsterdam","ar","كرة الثلج الكوكايين أمستردام","youtube","_"
"cocaine snowglobe Amsterdam","ar","كرة الثلج الكوكايين أمستردام","youtube","_"
"cocaine snowglobe Amsterdam","ar","كرة الثلج الكوكايين أمستردام","youtube","_"
"cocaine snowglobe Amsterdam","es","bola de nieve de cocaína Amsterdam","youtube","_"
"cocaine snowglobe Amsterdam","es","bola de nieve de cocaína Amsterdam","youtube","_"
"cocaine snowglobe Amsterdam","es","bola de nieve de cocaína Amsterdam","youtube","_"
"cocaine snowglobe Amsterdam","es","bola de nieve de cocaína Amsterdam","youtube","_"
"cocaine snowglobe Amsterdam","fr","boule à neige cocaïne Amsterdam","youtube","_"
"cocaine snowglobe Amsterdam","fr","boule à neige cocaïne Amsterdam","youtube","_"
"cocaine snowglobe Amsterdam","fr","boule à neige cocaïne Amsterdam","youtube","_"
"cocaine snowglobe Amsterdam","fr","boule à neige cocaïne Amsterdam","youtube","_"
"cocaine snowglobe Amsterdam","hi","कोकीन स्नोग्लोब एम्स्टर्डम","youtube","_"
"cocaine snowglobe Amsterdam","hi","कोकीन स्नोग्लोब एम्स्टर्डम","youtube","_"
"cocaine snowglobe Amsterdam","hi","कोकीन स्नोग्लोब एम्स्टर्डम","youtube","_"
"cocaine snowglobe Amsterdam","hi","कोकीन स्नोग्लोब एम्स्टर्डम","youtube","_"
"cocaine snowglobe Amsterdam","ja","コカイン スノーグローブ アムステルダム","youtube","_"
"cocaine snowglobe Amsterdam","ja","コカイン スノーグローブ アムステルダム","youtube","_"
"cocaine snowglobe Amsterdam","ja","コカイン スノーグローブ アムステルダム","youtube","_"
"cocaine snowglobe Amsterdam","ja","コカイン スノーグローブ アムステルダム","youtube","_"
"cocaine snowglobe Amsterdam","pt","globo de neve de cocaína Amsterdã","youtube","_"
"cocaine snowglobe Amsterdam","pt","globo de neve de cocaína Amsterdã","youtube","_"
"cocaine snowglobe Amsterdam","pt","globo de neve de cocaína Amsterdã","youtube","_"
"cocaine snowglobe Amsterdam","pt","globo de neve de cocaína Amsterdã","youtube","_"
"cocaine snowglobe Amsterdam","zh-CN","可卡因雪球 阿姆斯特丹","youtube","_"
"cocaine snowglobe Amsterdam","zh-CN","可卡因雪球 阿姆斯特丹","youtube","_"
"cocaine snowglobe Amsterdam","zh-CN","可卡因雪球 阿姆斯特丹","youtube","_"
"cocaine snowglobe Amsterdam","zh-CN","可卡因雪球 阿姆斯特丹","youtube","_"
"displaced tropical plants at home","ar","النباتات الاستوائية النازحة في المنزل","youtube","_"
"displaced tropical plants at home","ar","النباتات الاستوائية النازحة في المنزل","youtube","_"
"displaced tropical plants at home","ar","النباتات الاستوائية النازحة في المنزل","youtube","_"
"displaced tropical plants at home","ar","النباتات الاستوائية النازحة في المنزل","youtube","_"
