"language","term","platform","topic","link","done"
"ar","آراء مصنوعة آليًا","youtube","machine-made opinions","4tfI7jNbbz4","True"
"ar","آراء مصنوعة آليًا","youtube","machine-made opinions","4tfI7jNbbz4","True"
"ar","آراء مصنوعة آليًا","youtube","machine-made opinions","4xDRGzczFXg","True"
"ar","آراء مصنوعة آليًا","youtube","machine-made opinions","4xDRGzczFXg","True"
"ar","الاستسلام لعقلنا","youtube","surrendering our intellect","DC5YmCDnWDM","True"
"ar","الاستسلام لعقلنا","youtube","surrendering our intellect","7yMJT19HtBU","True"
"ar","الاستسلام لعقلنا","youtube","surrendering our intellect","uD-YgoITEq4","True"
"ar","الاستسلام لعقلنا","youtube","surrendering our intellect","uD-YgoITEq4","True"
"ar","الاستعانة بمصادر خارجية للأفكار إلى الآلة","youtube","outsourcing thoughts to machine","rN6ZcgO53zE","True"
"ar","الاستعانة بمصادر خارجية للأفكار إلى الآلة","youtube","outsourcing thoughts to machine","rN6ZcgO53zE","True"
"ar","الاستعانة بمصادر خارجية للأفكار إلى الآلة","youtube","outsourcing thoughts to machine","gPyFXqkMR2c","True"
"ar","الاستعانة بمصادر خارجية للأفكار إلى الآلة","youtube","outsourcing thoughts to machine","gPyFXqkMR2c","True"
"ar","الراحة من عدم التفكير","youtube","comfort of not thinking","IbV_TucY3Go","True"
"ar","الراحة من عدم التفكير","youtube","comfort of not thinking","IbV_TucY3Go","True"
"ar","الراحة من عدم التفكير","youtube","comfort of not thinking","xaYBCkfVgfE","True"
"ar","الراحة من عدم التفكير","youtube","comfort of not thinking","xaYBCkfVgfE","True"
"ar","الكسل في العصر الرقمي","youtube","laziness in the digital age","sfHACs4xLc0","True"
"ar","الكسل في العصر الرقمي","youtube","laziness in the digital age","sfHACs4xLc0","True"
"ar","الكسل في العصر الرقمي","youtube","laziness in the digital age","L_SqJnO2CIw","True"
"ar","الكسل في العصر الرقمي","youtube","laziness in the digital age","L_SqJnO2CIw","True"
"ar","عندما يتم الاستعانة بمصادر خارجية للتفكير","youtube","when thinking gets outsourced","wQLxzbve6kQ","True"
"ar","عندما يتم الاستعانة بمصادر خارجية للتفكير","youtube","when thinking gets outsourced","wQLxzbve6kQ","True"
"ar","عندما يتم الاستعانة بمصادر خارجية للتفكير","youtube","when thinking gets outsourced","xtC8eC6agkI","True"
"ar","عندما يتم الاستعانة بمصادر خارجية للتفكير","youtube","when thinking gets outsourced","xtC8eC6agkI","True"
"ar","موت الفضول","youtube","the death of curiosity","5X5gdr-mbeg","True"
"ar","موت الفضول","youtube","the death of curiosity","EPs4q5uJyRc","True"
"ar","موت الفضول","youtube","the death of curiosity","EPs4q5uJyRc","True"
"ar","موت الفضول","youtube","the death of curiosity","0A6IyEmmvws","True"
"en","comfort of not thinking","youtube","comfort of not thinking","0k7y6ikkwEY","True"
"en","comfort of not thinking","youtube","comfort of not thinking","0k7y6ikkwEY","True"
"en","comfort of not thinking","youtube","comfort of not thinking","A5jS1JZSN0Y","True"
"en","comfort of not thinking","youtube","comfort of not thinking","A5jS1JZSN0Y","True"
"en","laziness in the digital age","youtube","laziness in the digital age","DLbLv8JFRsI","True"
"en","laziness in the digital age","youtube","laziness in the digital age","DLbLv8JFRsI","True"
"en","laziness in the digital age","youtube","laziness in the digital age","BO8BW1OxJ8c","True"
