"topic","language","term","platform","link"
"outsourcing thoughts to machine","ar","الاستعانة بمصادر خارجية للأفكار إلى الآلة","youtube","_"
"outsourcing thoughts to machine","ar","الاستعانة بمصادر خارجية للأفكار إلى الآلة","youtube","_"
"outsourcing thoughts to machine","ar","الاستعانة بمصادر خارجية للأفكار إلى الآلة","youtube","_"
"outsourcing thoughts to machine","ar","الاستعانة بمصادر خارجية للأفكار إلى الآلة","youtube","_"
"outsourcing thoughts to machine","es","subcontratar pensamientos a la máquina","youtube","_"
"outsourcing thoughts to machine","es","subcontratar pensamientos a la máquina","youtube","_"
"outsourcing thoughts to machine","es","subcontratar pensamientos a la máquina","youtube","_"
"outsourcing thoughts to machine","es","subcontratar pensamientos a la máquina","youtube","_"
"outsourcing thoughts to machine","fr","externaliser les pensées vers la machine","youtube","_"
"outsourcing thoughts to machine","fr","externaliser les pensées vers la machine","youtube","_"
"outsourcing thoughts to machine","fr","externaliser les pensées vers la machine","youtube","_"
"outsourcing thoughts to machine","fr","externaliser les pensées vers la machine","youtube","_"
"outsourcing thoughts to machine","hi","विचारों को मशीन पर आउटसोर्स करना","youtube","_"
"outsourcing thoughts to machine","hi","विचारों को मशीन पर आउटसोर्स करना","youtube","_"
"outsourcing thoughts to machine","hi","विचारों को मशीन पर आउटसोर्स करना","youtube","_"
"outsourcing thoughts to machine","hi","विचारों को मशीन पर आउटसोर्स करना","youtube","_"
"outsourcing thoughts to machine","ja","思考を機械にアウトソーシングする","youtube","_"
"outsourcing thoughts to machine","ja","思考を機械にアウトソーシングする","youtube","_"
"outsourcing thoughts to machine","ja","思考を機械にアウトソーシングする","youtube","_"
"outsourcing thoughts to machine","ja","思考を機械にアウトソーシングする","youtube","_"
"outsourcing thoughts to machine","pt","terceirizando pensamentos para máquinas","youtube","_"
"outsourcing thoughts to machine","pt","terceirizando pensamentos para máquinas","youtube","_"
"outsourcing thoughts to machine","pt","terceirizando pensamentos para máquinas","youtube","_"
"outsourcing thoughts to machine","pt","terceirizando pensamentos para máquinas","youtube","_"
"outsourcing thoughts to machine","zh-CN","将思想外包给机器","youtube","_"
"outsourcing thoughts to machine","zh-CN","将思想外包给机器","youtube","_"
"outsourcing thoughts to machine","zh-CN","将思想外包给机器","youtube","_"
"outsourcing thoughts to machine","zh-CN","将思想外包给机器","youtube","_"
"the death of curiosity","ar","موت الفضول","youtube","_"
"the death of curiosity","ar","موت الفضول","youtube","_"
"the death of curiosity","ar","موت الفضول","youtube","_"
"the death of curiosity","ar","موت الفضول","youtube","_"
"the death of curiosity","es","la muerte de la curiosidad","youtube","_"
"the death of curiosity","es","la muerte de la curiosidad","youtube","_"
"the death of curiosity","es","la muerte de la curiosidad","youtube","_"
"the death of curiosity","es","la muerte de la curiosidad","youtube","_"
"the death of curiosity","fr","la mort de la curiosité","youtube","_"
"the death of curiosity","fr","la mort de la curiosité","youtube","_"
"the death of curiosity","fr","la mort de la curiosité","youtube","_"
"the death of curiosity","fr","la mort de la curiosité","youtube","_"
"the death of curiosity","hi","जिज्ञासा की मृत्यु","youtube","_"
"the death of curiosity","hi","जिज्ञासा की मृत्यु","youtube","_"
"the death of curiosity","hi","जिज्ञासा की मृत्यु","youtube","_"
"the death of curiosity","hi","जिज्ञासा की मृत्यु","youtube","_"
"the death of curiosity","ja","好奇心の死","youtube","_"
"the death of curiosity","ja","好奇心の死","youtube","_"
"the death of curiosity","ja","好奇心の死","youtube","_"
"the death of curiosity","ja","好奇心の死","youtube","_"
"the death of curiosity","pt","a morte da curiosidade","youtube","_"
"the death of curiosity","pt","a morte da curiosidade","youtube","_"
"the death of curiosity","pt","a morte da curiosidade","youtube","_"
"the death of curiosity","pt","a morte da curiosidade","youtube","_"
"the death of curiosity","zh-CN","好奇心之死","youtube","_"
"the death of curiosity","zh-CN","好奇心之死","youtube","_"
"the death of curiosity","zh-CN","好奇心之死","youtube","_"
"the death of curiosity","zh-CN","好奇心之死","youtube","_"
"when thinking gets outsourced","ar","عندما يتم الاستعانة بمصادر خارجية للتفكير","youtube","_"
"when thinking gets outsourced","ar","عندما يتم الاستعانة بمصادر خارجية للتفكير","youtube","_"
"when thinking gets outsourced","ar","عندما يتم الاستعانة بمصادر خارجية للتفكير","youtube","_"
