"language","term","platform","topic","link","done"
"ar","أصول سامة","youtube","toxic origins","SMjNi67NsMQ","True"
"ar","أصول سامة","youtube","toxic origins","p79UQfnDtmM","True"
"ar","أصول سامة","youtube","toxic origins","FRgQGoXcFc4","True"
"ar","أصول سامة","youtube","toxic origins","FRgQGoXcFc4","True"
"ar","إعادة كتابة قصتها","youtube","rewriting its story","Lo3TSWlAWcw","True"
"ar","إعادة كتابة قصتها","youtube","rewriting its story","Lo3TSWlAWcw","True"
"ar","إعادة كتابة قصتها","youtube","rewriting its story","ZERHNPIEp9M","True"
"ar","إعادة كتابة قصتها","youtube","rewriting its story","ZERHNPIEp9M","True"
"ar","الأرض إلى الحامل","youtube","earth to easel","Vtl9BnJgLrc","True"
"ar","الأرض إلى الحامل","youtube","earth to easel","Vtl9BnJgLrc","True"
"ar","الأرض إلى الحامل","youtube","earth to easel","JSL8K3EvnG4","True"
"ar","الأرض إلى الحامل","youtube","earth to easel","JSL8K3EvnG4","True"
"ar","البصمة الكربونية للفن","youtube","carbon footprint of art","pPco-a_semA","True"
"ar","البصمة الكربونية للفن","youtube","carbon footprint of art","pPco-a_semA","True"
"ar","البصمة الكربونية للفن","youtube","carbon footprint of art","wjYRDN6yllY","True"
"ar","البصمة الكربونية للفن","youtube","carbon footprint of art","wjYRDN6yllY","True"
"ar","الجبل إلى الفرن","youtube","mountain to kiln","r8OTlg-MKYk","True"
"ar","الجبل إلى الفرن","youtube","mountain to kiln","r8OTlg-MKYk","True"
"ar","الجبل إلى الفرن","youtube","mountain to kiln","_PXRRsEsp4Y","True"
"ar","الجبل إلى الفرن","youtube","mountain to kiln","_PXRRsEsp4Y","True"
"ar","المشاعات المادية","youtube","in-material commons","UC5mBzDqv8c","True"
"ar","المشاعات المادية","youtube","in-material commons","1_07js0VbyU","True"
"ar","المشاعات المادية","youtube","in-material commons","1_07js0VbyU","True"
"ar","المشاعات المادية","youtube","in-material commons","PdGYf51-AyE","True"
"ar","توريد العين والخرف","youtube","supply eye and dementia","DT9gOkCovuY","True"
"ar","توريد العين والخرف","youtube","supply eye and dementia","DT9gOkCovuY","True"
