"topic","language","term","platform","link"
"zero material art practices","ar","صفر ممارسات فنية مادية","youtube","_"
"zero material art practices","ar","صفر ممارسات فنية مادية","youtube","_"
"zero material art practices","ar","صفر ممارسات فنية مادية","youtube","_"
"zero material art practices","ar","صفر ممارسات فنية مادية","youtube","_"
"zero material art practices","es","cero prácticas de arte material","youtube","_"
"zero material art practices","es","cero prácticas de arte material","youtube","_"
"zero material art practices","es","cero prácticas de arte material","youtube","_"
"zero material art practices","es","cero prácticas de arte material","youtube","_"
"zero material art practices","fr","zéro pratique artistique matérielle","youtube","_"
"zero material art practices","fr","zéro pratique artistique matérielle","youtube","_"
"zero material art practices","fr","zéro pratique artistique matérielle","youtube","_"
"zero material art practices","fr","zéro pratique artistique matérielle","youtube","_"
"zero material art practices","hi","शून्य भौतिक कला अभ्यास","youtube","_"
"zero material art practices","hi","शून्य भौतिक कला अभ्यास","youtube","_"
"zero material art practices","hi","शून्य भौतिक कला अभ्यास","youtube","_"
"zero material art practices","hi","शून्य भौतिक कला अभ्यास","youtube","_"
"zero material art practices","ja","マテリアルアートの実践はゼロ","youtube","_"
"zero material art practices","ja","マテリアルアートの実践はゼロ","youtube","_"
"zero material art practices","ja","マテリアルアートの実践はゼロ","youtube","_"
"zero material art practices","ja","マテリアルアートの実践はゼロ","youtube","_"
"zero material art practices","pt","zero práticas de arte material","youtube","_"
"zero material art practices","pt","zero práticas de arte material","youtube","_"
"zero material art practices","pt","zero práticas de arte material","youtube","_"
"zero material art practices","pt","zero práticas de arte material","youtube","_"
"zero material art practices","zh-CN","零物质艺术实践","youtube","_"
"zero material art practices","zh-CN","零物质艺术实践","youtube","_"
"zero material art practices","zh-CN","零物质艺术实践","youtube","_"
"zero material art practices","zh-CN","零物质艺术实践","youtube","_"
"rewriting its story","ar","إعادة كتابة قصتها","youtube","_"
"rewriting its story","ar","إعادة كتابة قصتها","youtube","_"
"rewriting its story","ar","إعادة كتابة قصتها","youtube","_"
"rewriting its story","ar","إعادة كتابة قصتها","youtube","_"
"rewriting its story","es","reescribiendo su historia","youtube","_"
"rewriting its story","es","reescribiendo su historia","youtube","_"
"rewriting its story","es","reescribiendo su historia","youtube","_"
"rewriting its story","es","reescribiendo su historia","youtube","_"
"rewriting its story","fr","réécrire son histoire","youtube","_"
"rewriting its story","fr","réécrire son histoire","youtube","_"
"rewriting its story","fr","réécrire son histoire","youtube","_"
"rewriting its story","fr","réécrire son histoire","youtube","_"
"rewriting its story","hi","इसकी कहानी फिर से लिखना","youtube","_"
"rewriting its story","hi","इसकी कहानी फिर से लिखना","youtube","_"
"rewriting its story","hi","इसकी कहानी फिर से लिखना","youtube","_"
"rewriting its story","hi","इसकी कहानी फिर से लिखना","youtube","_"
"rewriting its story","ja","その物語を書き直す","youtube","_"
"rewriting its story","ja","その物語を書き直す","youtube","_"
"rewriting its story","ja","その物語を書き直す","youtube","_"
"rewriting its story","ja","その物語を書き直す","youtube","_"
"rewriting its story","pt","reescrevendo sua história","youtube","_"
"rewriting its story","pt","reescrevendo sua história","youtube","_"
"rewriting its story","pt","reescrevendo sua história","youtube","_"
"rewriting its story","pt","reescrevendo sua história","youtube","_"
"rewriting its story","zh-CN","重写它的故事","youtube","_"
"rewriting its story","zh-CN","重写它的故事","youtube","_"
"rewriting its story","zh-CN","重写它的故事","youtube","_"
"rewriting its story","zh-CN","重写它的故事","youtube","_"
"in-material commons","ar","المشاعات المادية","youtube","_"
"in-material commons","ar","المشاعات المادية","youtube","_"
"in-material commons","ar","المشاعات المادية","youtube","_"
"in-material commons","ar","المشاعات المادية","youtube","_"
"in-material commons","es","bienes comunes inmateriales","youtube","_"
"in-material commons","es","bienes comunes inmateriales","youtube","_"
"in-material commons","es","bienes comunes inmateriales","youtube","_"
"in-material commons","es","bienes comunes inmateriales","youtube","_"
"in-material commons","fr","biens communs matériels","youtube","_"
"in-material commons","fr","biens communs matériels","youtube","_"
"in-material commons","fr","biens communs matériels","youtube","_"
"in-material commons","fr","biens communs matériels","youtube","_"
"in-material commons","hi","इन-मटेरियल कॉमन्स","youtube","_"
"in-material commons","hi","इन-मटेरियल कॉमन्स","youtube","_"
"in-material commons","hi","इन-मटेरियल कॉमन्स","youtube","_"
"in-material commons","hi","इन-मटेरियल कॉमन्स","youtube","_"
"in-material commons","ja","マテリアルコモンズ","youtube","_"
"in-material commons","ja","マテリアルコモンズ","youtube","_"
"in-material commons","ja","マテリアルコモンズ","youtube","_"
"in-material commons","ja","マテリアルコモンズ","youtube","_"
"in-material commons","pt","bens comuns in-materiais","youtube","_"
"in-material commons","pt","bens comuns in-materiais","youtube","_"
"in-material commons","pt","bens comuns in-materiais","youtube","_"
"in-material commons","pt","bens comuns in-materiais","youtube","_"
"in-material commons","zh-CN","物质共享","youtube","_"
"in-material commons","zh-CN","物质共享","youtube","_"
"in-material commons","zh-CN","物质共享","youtube","_"
"in-material commons","zh-CN","物质共享","youtube","_"
"invisible hand to mouth","ar","يد غير مرئية إلى الفم","youtube","_"
"invisible hand to mouth","ar","يد غير مرئية إلى الفم","youtube","_"
"invisible hand to mouth","ar","يد غير مرئية إلى الفم","youtube","_"
"invisible hand to mouth","ar","يد غير مرئية إلى الفم","youtube","_"
"invisible hand to mouth","es","mano invisible a la boca","youtube","_"
"invisible hand to mouth","es","mano invisible a la boca","youtube","_"
"invisible hand to mouth","es","mano invisible a la boca","youtube","_"
"invisible hand to mouth","es","mano invisible a la boca","youtube","_"
"invisible hand to mouth","fr","main à bouche invisible","youtube","_"
"invisible hand to mouth","fr","main à bouche invisible","youtube","_"
"invisible hand to mouth","fr","main à bouche invisible","youtube","_"
"invisible hand to mouth","fr","main à bouche invisible","youtube","_"
"invisible hand to mouth","hi","अदृश्य हाथ से मुँह तक","youtube","_"
"invisible hand to mouth","hi","अदृश्य हाथ से मुँह तक","youtube","_"
"invisible hand to mouth","hi","अदृश्य हाथ से मुँह तक","youtube","_"
"invisible hand to mouth","hi","अदृश्य हाथ से मुँह तक","youtube","_"
"invisible hand to mouth","ja","目に見えない手から口へ","youtube","_"
"invisible hand to mouth","ja","目に見えない手から口へ","youtube","_"
"invisible hand to mouth","ja","目に見えない手から口へ","youtube","_"
"invisible hand to mouth","ja","目に見えない手から口へ","youtube","_"
"invisible hand to mouth","pt","mão invisível na boca","youtube","_"
"invisible hand to mouth","pt","mão invisível na boca","youtube","_"
"invisible hand to mouth","pt","mão invisível na boca","youtube","_"
"invisible hand to mouth","pt","mão invisível na boca","youtube","_"
"invisible hand to mouth","zh-CN","看不见的手到嘴","youtube","_"
"invisible hand to mouth","zh-CN","看不见的手到嘴","youtube","_"
"invisible hand to mouth","zh-CN","看不见的手到嘴","youtube","_"
"invisible hand to mouth","zh-CN","看不见的手到嘴","youtube","_"
"supply eye and dementia","ar","توريد العين والخرف","youtube","_"
"supply eye and dementia","ar","توريد العين والخرف","youtube","_"
